material_id,date,inventory_quantity,plant_id,country
8800866,2022-11-01,9647.374882142292,44005285,Pakistan
8800870,2020-10-01,3498.9566087771423,44005284,Turkey
8800866,2024-12-01,1414.6987643229604,44005287,Bangladesh
8800866,2023-04-01,8259.35706188307,44005283,India
8800867,2023-05-01,1960.2407848639164,44005283,Bangladesh
8800869,2021-08-01,1234.2140934460238,44005280,Pakistan
8800869,2024-05-01,7560.4376705848645,44005284,Pakistan
8800865,2023-04-01,9857.603597734535,44005282,Turkey
8800867,2023-08-01,285.5447235549162,44005285,Pakistan
8800870,2020-08-01,584.916356666215,44005283,Pakistan
8800864,2022-12-01,5308.556763434042,44005283,Turkey
8800867,2023-10-01,1702.6261689907965,44005287,Pakistan
8800863,2022-07-01,702.4878412815183,44005282,Pakistan
8800868,2023-09-01,39177.886471169775,44005280,Bangladesh
8800871,2022-06-01,2393.2396112064166,44005284,Bangladesh
8800871,2020-12-01,2388.2825942931095,44005280,India
8800871,2024-04-01,10908.066990090067,44005281,Bangladesh
8800870,2021-10-01,3352.503520223387,44005289,Bangladesh
8800863,2024-09-01,2844.9739546483934,44005283,Bangladesh
8800870,2024-10-01,3253.4386638043716,44005286,Pakistan
8800870,2022-07-01,630.1577456555699,44005283,India
8800864,2023-04-01,39543.45289435298,44005283,Bangladesh
8800862,2020-03-01,6467.262421547545,44005281,India
8800864,2021-05-01,29834.826502054362,44005280,Pakistan
8800865,2024-07-01,2445.6719133248034,44005280,Bangladesh
8800869,2023-01-01,1412.5481129095028,44005281,Pakistan
8800865,2023-02-01,1930.1698214974706,44005281,India
8800865,2024-08-01,2819.5729141028332,44005280,India
8800866,2021-02-01,1042.981403017316,44005284,India
8800864,2024-07-01,5205.665024460923,44005286,Pakistan
8800871,2022-09-01,15701.663631000065,44005280,Bangladesh
8800869,2020-01-01,1158.6708528570377,44005285,Bangladesh
8800866,2021-07-01,993.6512186104543,44005285,Pakistan
8800868,2024-01-01,7118.40216352668,44005288,Bangladesh
8800863,2023-12-01,730.6691507749413,44005288,Bangladesh
8800866,2021-06-01,1352.2751332938897,44005283,Turkey
8800866,2022-02-01,1341.2804149841359,44005284,India
8800866,2021-09-01,5789.444827052683,44005281,India
8800867,2021-04-01,1282.6576644893214,44005280,Bangladesh
8800867,2024-07-01,358.5105125459477,44005280,Bangladesh
8800869,2024-08-01,1412.8772059168527,44005280,Bangladesh
8800865,2022-03-01,17810.0200614193,44005285,Pakistan
8800868,2022-11-01,36398.2237745529,44005282,Turkey
8800864,2022-06-01,3804.3879250840178,44005287,Pakistan
8800865,2021-03-01,19374.63477341154,44005286,Bangladesh
8800863,2023-09-01,3851.4723606846974,44005280,Pakistan
8800863,2020-04-01,2996.887823935823,44005281,India
8800868,2021-05-01,34399.30005879317,44005284,India
8800865,2024-04-01,18067.62976631034,44005288,Pakistan
8800862,2024-06-01,1432.0745689897585,44005282,Pakistan
8800869,2023-12-01,1652.4162382132483,44005288,Pakistan
8800866,2023-11-01,5566.857111839679,44005282,India
8800867,2022-10-01,1168.709337219711,44005289,Pakistan
8800862,2020-12-01,1278.174131082163,44005284,Turkey
8800862,2024-02-01,763.9700511882021,44005280,Pakistan
8800867,2021-08-01,229.3948908606125,44005287,Bangladesh
8800864,2022-10-01,21620.809309233053,44005288,Bangladesh
8800869,2024-06-01,1280.2755303661374,44005284,Bangladesh
8800865,2022-12-01,2246.769294483567,44005282,Turkey
8800870,2022-06-01,755.7047976537606,44005284,Turkey
8800869,2021-09-01,6687.897239905209,44005287,Bangladesh
8800869,2022-04-01,6512.158972302887,44005283,Bangladesh
8800868,2023-10-01,27989.714039145572,44005282,India
8800868,2023-11-01,31512.549237748404,44005284,Turkey
8800868,2020-10-01,37173.66143544137,44005284,Turkey
8800866,2021-10-01,9355.398461605912,44005283,India
8800871,2024-11-01,15115.021662706955,44005283,Turkey
8800867,2022-11-01,2092.57978247292,44005288,Pakistan
8800862,2022-12-01,1029.4786587756453,44005281,India
8800863,2023-06-01,485.913221271972,44005285,Pakistan
8800863,2022-12-01,580.2447195343507,44005282,India
8800871,2022-02-01,1593.2684455681872,44005282,Turkey
8800871,2021-03-01,13151.688892107242,44005286,Pakistan
8800868,2024-10-01,36288.18730847964,44005287,Pakistan
8800870,2023-09-01,3813.4473141491503,44005284,Bangladesh
8800866,2020-02-01,1093.7777587894204,44005280,India
8800867,2022-08-01,320.0229685041039,44005288,Bangladesh
8800865,2020-07-01,2105.1587722563545,44005281,Bangladesh
8800862,2021-07-01,1328.7364014765253,44005289,Bangladesh
8800868,2024-10-01,41442.229854637386,44005289,Bangladesh
8800864,2024-04-01,28338.935327446434,44005283,India
8800862,2022-07-01,1462.3242894195082,44005284,India
8800871,2022-11-01,14540.566294197879,44005280,Turkey
8800866,2022-10-01,5835.934341312077,44005281,India
8800863,2022-02-01,635.631459148112,44005281,India
8800865,2020-05-01,15773.653673893989,44005288,Bangladesh
8800869,2023-11-01,5634.830646895037,44005281,Turkey
8800869,2020-01-01,1159.283230451356,44005283,India
8800868,2023-03-01,27483.29925407918,44005284,India
8800867,2022-08-01,301.88809911745403,44005284,Bangladesh
8800871,2023-08-01,2431.9370449147027,44005281,Pakistan
8800868,2024-07-01,6374.7198643648,44005284,Turkey
8800866,2022-04-01,5631.568454588818,44005282,India
8800867,2023-11-01,1595.7862346578297,44005280,Bangladesh
8800865,2020-03-01,10828.05666658884,44005281,Pakistan
8800869,2021-02-01,950.3893980449964,44005287,Bangladesh
8800870,2020-11-01,3715.6767728662703,44005282,India
8800869,2023-10-01,7218.374437958813,44005281,India
8800869,2020-10-01,6480.678712686303,44005281,Bangladesh
8800867,2022-11-01,1812.0416261291182,44005282,Turkey
8800863,2024-12-01,577.1432094205668,44005286,Pakistan
8800865,2022-01-01,3027.9030935691103,44005280,Turkey
8800864,2023-06-01,5186.330423945514,44005285,Bangladesh
8800865,2020-08-01,1953.1183049730553,44005280,Pakistan
8800865,2021-12-01,2600.13123166665,44005282,Pakistan
8800867,2021-01-01,266.2855082659506,44005285,Pakistan
8800862,2021-11-01,5541.635944814259,44005287,Pakistan
8800868,2023-05-01,44293.41731793718,44005284,India
8800863,2020-11-01,3668.7045037997786,44005284,Turkey
8800870,2023-06-01,580.8059456132145,44005284,Pakistan
8800863,2021-08-01,648.2774396600462,44005284,Turkey
8800863,2020-04-01,5121.738119433957,44005286,Bangladesh
8800869,2021-02-01,1268.681843420874,44005282,Turkey
8800864,2024-09-01,35895.13370444813,44005288,Pakistan
8800863,2023-02-01,585.950004269875,44005288,Pakistan
8800863,2020-11-01,3825.817736564658,44005289,Bangladesh
8800867,2022-11-01,1987.3675656849011,44005280,India
8800866,2022-10-01,5671.162824279053,44005284,Turkey
8800863,2023-03-01,3564.2120376460325,44005282,Pakistan
8800868,2020-05-01,38375.85209907601,44005280,India
8800865,2023-12-01,2572.545499206585,44005286,Bangladesh
8800871,2024-11-01,14129.856478639478,44005284,Bangladesh
8800862,2020-08-01,1011.1766970802878,44005289,Pakistan
8800871,2024-12-01,2516.937742001268,44005287,Pakistan
8800866,2024-03-01,4292.419354716853,44005284,Turkey
8800870,2021-03-01,3446.1104160287405,44005282,India
8800864,2024-08-01,5190.682618210227,44005289,Pakistan
8800869,2020-01-01,1059.6597881843347,44005287,Pakistan
8800866,2021-03-01,6243.048584074663,44005282,Pakistan
8800868,2020-06-01,5268.957070487318,44005289,Pakistan
8800862,2022-12-01,1200.1816122491482,44005284,Pakistan
8800868,2020-05-01,28496.421743149425,44005282,Pakistan
8800865,2022-11-01,14058.380319758346,44005283,Turkey
8800865,2020-06-01,2748.6448063502876,44005280,Pakistan
8800862,2020-07-01,1424.9959122071064,44005285,Bangladesh
8800867,2023-12-01,330.31020212913035,44005281,Pakistan
8800868,2023-12-01,6161.5393435680935,44005283,India
8800867,2024-03-01,2032.4164264926942,44005283,Bangladesh
8800867,2023-12-01,321.6063278401517,44005286,Pakistan
